Landmark 0: x=0.782389223575592, y=0.711044430732727, z=6.409568431564594e-09
Landmark 1: x=0.7042964696884155, y=0.6705234050750732, z=-0.031632307916879654
Landmark 2: x=0.6511759757995605, y=0.5957653522491455, z=-0.04327341914176941
Landmark 3: x=0.6307204961776733, y=0.5160430073738098, z=-0.05849698558449745
Landmark 4: x=0.6363065242767334, y=0.44698455929756165, z=-0.07531680166721344
Landmark 5: x=0.6898611187934875, y=0.49596279859542847, z=0.03162233158946037
Landmark 6: x=0.6727434396743774, y=0.42505162954330444, z=0.022450733929872513
Landmark 7: x=0.6606592535972595, y=0.3856663107872009, z=0.003407966811209917
Landmark 8: x=0.6473645567893982, y=0.3561769723892212, z=-0.011880348436534405
Landmark 9: x=0.7317222356796265, y=0.48257479071617126, z=0.028980253264307976
Landmark 10: x=0.7217710018157959, y=0.40582841634750366, z=0.0208448376506567
Landmark 11: x=0.7101947665214539, y=0.36676469445228577, z=-0.012315534986555576
Landmark 12: x=0.694258451461792, y=0.34548479318618774, z=-0.037171103060245514
Landmark 13: x=0.773353099822998, y=0.48480209708213806, z=0.01782340742647648
Landmark 14: x=0.7686623930931091, y=0.40990138053894043, z=0.0025405799970030785
Landmark 15: x=0.7559431791305542, y=0.36847227811813354, z=-0.03497423604130745
Landmark 16: x=0.7381451725959778, y=0.3456937074661255, z=-0.06117795407772064
Landmark 17: x=0.8176577091217041, y=0.4987516701221466, z=0.002018254017457366
Landmark 18: x=0.8244711756706238, y=0.4293622672557831, z=-0.014708069153130054
Landmark 19: x=0.8160836100578308, y=0.39188963174819946, z=-0.037828229367733
Landmark 20: x=0.7996419072151184, y=0.3675042986869812, z=-0.05577205494046211

Landmark 0: x=0.7745710611343384, y=0.7128714919090271, z=2.542823285267559e-09
Landmark 1: x=0.6975668668746948, y=0.6650559902191162, z=-0.023234380409121513
Landmark 2: x=0.6464914083480835, y=0.5921267867088318, z=-0.027648942545056343
Landmark 3: x=0.6278001070022583, y=0.5135853290557861, z=-0.03608304262161255
Landmark 4: x=0.6340187191963196, y=0.4505719542503357, z=-0.04499432072043419
Landmark 5: x=0.688801109790802, y=0.501282274723053, z=0.04168642684817314
Landmark 6: x=0.6713705658912659, y=0.42917025089263916, z=0.03541373834013939
Landmark 7: x=0.6583642363548279, y=0.3914456069469452, z=0.01944892480969429
Landmark 8: x=0.6447572112083435, y=0.3612990379333496, z=0.006238436792045832
Landmark 9: x=0.7301150560379028, y=0.48794475197792053, z=0.03689071536064148
Landmark 10: x=0.7213338017463684, y=0.4090404212474823, z=0.028701111674308777
Landmark 11: x=0.7091166973114014, y=0.36774879693984985, z=-0.0036803199909627438
Landmark 12: x=0.6922690272331238, y=0.3415365219116211, z=-0.026943398639559746
Landmark 13: x=0.7711225152015686, y=0.48933809995651245, z=0.024213425815105438
Landmark 14: x=0.7672566175460815, y=0.41227030754089355, z=0.00773249426856637
Landmark 15: x=0.7542595267295837, y=0.36950749158859253, z=-0.02963508479297161
Landmark 16: x=0.7347857356071472, y=0.34104758501052856, z=-0.054312508553266525
Landmark 17: x=0.8149747252464294, y=0.5024042725563049, z=0.00806604977697134
Landmark 18: x=0.8244445323944092, y=0.43398475646972656, z=-0.009349140338599682
Landmark 19: x=0.8171393871307373, y=0.39427831768989563, z=-0.03279107064008713
Landmark 20: x=0.8006342649459839, y=0.36449092626571655, z=-0.050018250942230225

Landmark 0: x=0.7759687304496765, y=0.711916446685791, z=2.4922404140426124e-09
Landmark 1: x=0.6987854838371277, y=0.6654801368713379, z=-0.02544165775179863
Landmark 2: x=0.6478604674339294, y=0.593134343624115, z=-0.031323645263910294
Landmark 3: x=0.6288724541664124, y=0.5146949887275696, z=-0.041206538677215576
Landmark 4: x=0.6356377601623535, y=0.4500073194503784, z=-0.05175391584634781
Landmark 5: x=0.688902735710144, y=0.5013085603713989, z=0.04362138733267784
Landmark 6: x=0.6719721555709839, y=0.4309472441673279, z=0.03883281350135803
Landmark 7: x=0.6595168113708496, y=0.3930667042732239, z=0.023296164348721504
Landmark 8: x=0.6466749310493469, y=0.3632384240627289, z=0.010407169349491596
Landmark 9: x=0.7302708029747009, y=0.48726391792297363, z=0.04013126716017723
Landmark 10: x=0.7207517623901367, y=0.41056209802627563, z=0.0354333333671093
Landmark 11: x=0.7087786197662354, y=0.36968332529067993, z=0.004614103585481644
Landmark 12: x=0.6919385194778442, y=0.3446139693260193, z=-0.01787940412759781
Landmark 13: x=0.7711660861968994, y=0.48763421177864075, z=0.02827080897986889
Landmark 14: x=0.7663328051567078, y=0.41247883439064026, z=0.01593366079032421
Landmark 15: x=0.7538818120956421, y=0.36898866295814514, z=-0.019328497350215912
Landmark 16: x=0.7348994612693787, y=0.3409704566001892, z=-0.043463706970214844
Landmark 17: x=0.8149558305740356, y=0.49963128566741943, z=0.012361481785774231
Landmark 18: x=0.82364422082901, y=0.4318275451660156, z=-0.0019558751955628395
